Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
..9....3....1.84.2...3..71...87......6.812.9......68...34..9...7.26.4....8....6..,27,54,0,0,0,0,0,0,0,Simple,
.3..7..6.8.2..6..9..6...58..6..3....7..8.2..3....1..9..13...2..2..6..9.7.8..4..5.,28,53,0,0,0,0,0,0,0,Simple,
.7.......1.3..7.5.5....1.97...452..18...1...24..378...65.7....3.9.5..2.4.......8.,29,52,0,0,0,0,0,0,0,Simple,
....7..2.4....37...251.63...82.4.9..5..6.1..2..4.8.56...17.563...68....9.4..6....,32,49,0,0,0,0,0,0,0,Simple,
.8...5....3....298.6192.5..3..4.79....4.8.3....82.3..7..6.9273.543....2....1...6.,33,48,0,0,0,0,0,0,0,Simple,
.63.7..4.8...21..3...4....5.5.7.29..61.....57..91.3.6.1....9...4..21...6.9..8.21.,32,49,0,0,0,0,0,0,0,Simple,
7..9..2.4..62.4...5...3..1..7.5.2.69..8...1..91.3.6.7..2..4...8...8.96..8.9..5..1,32,49,0,0,0,0,0,0,0,Simple,
.......3....93...78.31..45...6.91.7.3.......5.2.45.8...18..42.66...15....7.......,28,53,0,0,0,0,0,0,0,Simple,
73.29...6.1.7...25..6.8.7.........974.9...8.257.........3.2.6..64...5.3.2...36.51,32,49,0,0,0,0,0,0,0,Simple,
.725..9.1.4.1.2...61......4...4....6....3....7....5...8......39...2.8.6.2.9..347.,27,54,0,0,0,0,0,0,0,Simple,
.1..394..9.5.....2..7...9..2...6.1.7.6..7.3..7...1.5.4..4...6..6.8.....1.5..917..,29,52,0,0,0,0,0,0,0,Simple,
..8.6..7.716....2.....9..64...7.5...2.3...5.9...9.1...63..4.....2....853.9..1.2..,28,53,0,0,0,0,0,0,0,Simple,
39.45..68.....1..5..29...41.2.......8..5.7....4.........37...89.....5..796.18..53,29,52,0,0,0,0,0,0,0,Simple,
9..16...4.....96...42..83...936.5..27.......62..4.198...82..76...65.....3...16..5,32,49,0,0,0,0,0,0,0,Simple,
..91...62..6...3..2..7...4..8.3.6..5..5.9..3..6.2.7..93..6...5...8...7....49...86,29,52,0,0,0,0,0,0,0,Simple,
5..9.........41.....2...87..7.2..4..91.67..32.6.1..9....9...75.....38...6..7.....,26,55,0,0,0,0,0,0,0,Simple,
......1....43...69.3756.4.....97.6.....6.8.....8.23.....2.1935.18...27....3......,28,53,0,0,0,0,0,0,0,Simple,
...7..24.3..61.7..457...6......6..13.4.2.1.7.86..3......4...365..5.26..7.79..5...,32,49,0,0,0,0,0,0,0,Simple,
3.1.9..6.....1.8.9.928..........5..2.23...49.7..6..........328.1.7.5.....4..7.1.3,28,53,0,0,0,0,0,0,0,Simple,
4.3...8761..63....6..5....2...3.542..9..2..3..317.9...9....3..1....52..3312...5.8,33,48,0,0,0,0,0,0,0,Simple,
...2.591.8.....2..932.1.5..7..961..2..45.36..5..847..1..8.5.763..9.....5.153.4...,36,45,0,0,0,0,0,0,0,Simple,
....31....49....7.5.....8....61..7.49.8..6..1..78..3.61.....6...63....5.....68...,26,55,0,0,0,0,0,0,0,Simple,
.45.73....1...4.37....8...598..2....5.64.87.1....9..237...5....25.8...7....21.56.,32,49,0,0,0,0,0,0,0,Simple,
.7.1.........8.3.9.6395.2........5.7.58...64.7.2........6.9471.5.7.3.........2.3.,28,53,0,0,0,0,0,0,0,Simple,
...96.......8.24...93..17...81....622.......437....95...24..89...76.8.......93...,28,53,0,0,0,0,0,0,0,Simple,
...58.76.42...7.1.6..1......6....5.15.......43.9....2......2..7.5.8...39.73.59...,28,53,0,0,0,0,0,0,0,Simple,
243..5..8.8..7..31........53..926....9.1.8.5....754..96........82..6..7.7..2..816,32,49,0,0,0,0,0,0,0,Simple,
45.6...8.92..5...7......4..83.51..94.......7.24.78..36......9..58..2...369.8...4.,31,50,0,0,0,0,0,0,0,Simple,
.5..2..7.4.37..2.5.8...6.9...5.3..1.8..4.2..3.2..5.9...6.3...8.9.4..85.7.3..9..2.,32,49,0,0,0,0,0,0,0,Simple,
.578.912....7.2...4...3...97..9.6..2....5......8...9...35...41.1..493..5.7..6..9.,30,51,0,0,0,0,0,0,0,Simple,
4...9752...3..2.......4...763.9...8.....8.....5...3.719...1.......5..8...1427...6,27,45,9,0,0,0,0,0,0,Easy,
.75...89.6.......3.9.3.5.6.58.....299..6.8..1..1.4.6.....239....59...31..........,28,37,16,0,0,0,0,0,0,Easy,
82.7.1.355..3.9..2..9...6......7....6.3.5.2.1..7...8...1.6.5.4..........7..8.2..9,28,46,7,0,0,0,0,0,0,Easy,
.3.7.15.......9..71.845.2..26....7.1..7...9..9.5....24..2.471.57..1.......16.5.7.,32,30,19,0,0,0,0,0,0,Easy,
.2.4..8...6.12..49....986..5.2....3..79...1..6.3....9.....324...5.94..81.4.8..9..,31,41,9,0,0,0,0,0,0,Easy,
..3...6...2.987.5..89.6.21.3.......1..8.4.9..............694...5..7.2..6.1.....7.,26,41,14,0,0,0,0,0,0,Easy,
3....8.644.62..5...9.....2.7...3..8....6.7....3..1...7.1.....9...5..27.667.4....2,28,52,1,0,0,0,0,0,0,Easy,
......65.9.3.....45..8.1....8.42...37.9....4..2.96...83..7.8...2.7.....5......79.,27,53,1,0,0,0,0,0,0,Easy,
4.5.81...91..2.......9......3......62....5.1.....6.8...2...765....1...3.17....2..,24,34,23,0,0,0,0,0,0,Easy,
9..4.1..72.......6.35.7.49.3.7...6.8.2.6.8.7....3.7.....25.43............6..3..4.,28,49,4,0,0,0,0,0,0,Easy,
.6..489.....3....74.8..25..2.7....4.8...9...1.4....8.9..12..7.46....5.....913..6.,29,39,13,0,0,0,0,0,0,Easy,
..51.73...3........42..5..79..4.6..2....5....7..9.3..65..3..61........8...36.85..,27,34,20,0,0,0,0,0,0,Easy,
...9..1.6..3....7..1.7.3....4..3.56.6..4.2..3.31.7..4....1.9.5..5....3..2.6..5...,28,38,15,0,0,0,0,0,0,Easy,
..9...156..5..287....18.....7...849.....3.....469...8.....21....923..7..657...3..,29,39,13,0,0,0,0,0,0,Easy,
.....295.8.6.3....3...14.7.4.2.......38.7.42.......5.6.8.75...9....4.8.5.543.....,29,45,7,0,0,0,0,0,0,Easy,
1.2.9...3..651.....4.....51...45.1....9....4....87.3...2.....89..794....3.4.8...5,28,42,11,0,0,0,0,0,0,Easy,
..76.92..6.5...9.1.4.....8.93.....27....1.......3.7...1..8.5..3.72...84..........,25,40,16,0,0,0,0,0,0,Easy,
...69.....5..3...982....36..65.27..89.......54..51.67..13....245...8..9.....46...,30,39,12,0,0,0,0,0,0,Easy,
3..7...68.........8.624...54.1.3.5...3.......2.7.1.3..1.935...4.........7..6...81,27,45,9,0,0,0,0,0,0,Easy,
.1...........1..73..7.95.8.3.5..21...9..6..4...81..3.2.8.54.9..16..7...........3.,27,49,5,0,0,0,0,0,0,Easy,
3...1...6.2.735.1...1...5.....3.8...5.8...7.2.34...69.....6.....4.....5.2.5.9.4.1,28,40,13,0,0,0,0,0,0,Easy,
1.9...2.6..32.69.....4.3...4.......7.6..7..2....1.2.....7...5..9.28.47.3.........,25,35,21,0,0,0,0,0,0,Easy,
..8.9.6...5.....7..3..1..8.3..2.8..5...........51749....4...2..1..635..8.8.....1.,26,47,8,0,0,0,0,0,0,Easy,
.7...5..68...6.53.3..8.....43.57...9.........52.34...86..7.....7...1.26..1...9..3,28,41,12,0,0,0,0,0,0,Easy,
..9...1...2.4.7.3..8..3..7....3.4....5.9.1.2.9...8...336.7.8.15.1.....6....5.6...,28,48,5,0,0,0,0,0,0,Easy,
...4...3..37.95...8...7...4.7...83..29.....7............5...123...9..76..62....5.,25,41,15,0,0,0,0,0,0,Easy,
....34.....3....6...87.231......76..4..219..7..16......678.34...5....9.....42....,27,39,15,0,0,0,0,0,0,Easy,
..6.....491..2...7..3.4.2.......8.7.5....34.2.....2.5...2.3.8..43..7...1..8.....6,26,37,18,0,0,0,0,0,0,Easy,
...5.6..31.2.9.5.8......7...79..1.5..6.2......58..7.2.......6..7.5.4.8.2...1.5..4,28,39,14,0,0,0,0,0,0,Easy,
..9..5.47.3....65...8..2......2..........4..18..17..933.4.1..........9...17.5....,24,52,5,0,0,0,0,0,0,Easy,
3..6.4..7.........6..8.2..3.283.146.1.......9....9.....6.....7.5.19.86.2..2...8..,27,50,4,0,0,0,0,0,0,Easy,
3.8...2.57..42...........16.718.....5......8..243............581..94....6.7...9.3,26,49,6,0,0,0,0,0,0,Easy,
.....82...79..4.8.5...39.7.763........5...6........732.2.85...3.3.2..59...71.....,28,49,4,0,0,0,0,0,0,Easy,
8...26..1.5...76..63.....4.9..2.......8.4.9.......5..4.4.....19..68...2.7..91...6,27,43,11,0,0,0,0,0,0,Easy,
....2....46.3.8.5917.....86..79.64..8...1...5....8....94.....13...7.4............,25,37,19,0,0,0,0,0,0,Easy,
.4..62....269..514.7.5...6.1.....32.4...8...7.37.....9.1...9.4.784..629....45..3.,33,42,6,0,0,0,0,0,0,Easy,
..87.56..2.......1....4.....23...18.14.....367...9...24...1...5..5...3.....4.3...,25,45,11,0,0,0,0,0,0,Easy,
.45.7.........5..1..849.2.5.8.9.61..9.7.5.8.4..18.7.3.6.4.387..7..2.........1.64.,33,42,6,0,0,0,0,0,0,Easy,
.2....37.1.5...8.483...6.1...3687......4.1......9524...9.8...465.6...2.3.87....9.,32,43,6,0,0,0,0,0,0,Easy,
6..8.9..1..4.1.5...........7..2.4..39..7.1..4.4.....6..6.537.8...2...4....74.61..,28,49,4,0,0,0,0,0,0,Easy,
.....52.8.1824.......9....4......43.9.4.3..........57....8....7.2957.........29.1,25,45,11,0,0,0,0,0,0,Easy,
.1..4.6...6.5.1.799....6....967.8.4.7.......5.3.6.278....9....885.3.4.9...9.8..5.,32,38,11,0,0,0,0,0,0,Easy,
5..1.....4..9.7.16....45.....5.12.....4.5..6..8.4..3......8...4..16....9.2.....3.,25,55,1,0,0,0,0,0,0,Easy,
7358...9....2.........4.8..5.8.......1.654.2.......7.6..6.8.........3....5...1239,25,46,10,0,0,0,0,0,0,Easy,
.53..4.2...25...4.8..7.6......3..4.....81..75...6..9..1..2.3.....69...5..25..1.3.,28,40,13,0,0,0,0,0,0,Easy,
64..19.2...7..53.4.....3...4......5..85.62...9......3......6.....4..72.623..48.1.,28,37,16,0,0,0,0,0,0,Easy,
8..4.5..6.962.715..4.....3.6...2...3..51.64....4.7.6..1.......7....1.......853...,28,44,9,0,0,0,0,0,0,Easy,
.6...2.9.5....9..1..13..4..65.1.32......4......79.5.18..2..19..4..7....2.9.6...8.,29,46,6,0,0,0,0,0,0,Easy,
6..5..72.....3......78...45.54.9....1..2...5..92.6......69...17....2....9..4..56.,27,35,19,0,0,0,0,0,0,Easy,
..8..1.4.91.....7....698..28.91.67....5...4....29.53.65..312....2.....57.9.8..2..,32,42,7,0,0,0,0,0,0,Easy,
.4.....69.56.1......9..6..12....58....8...2....54....71..3..5......4.93.46.....8.,26,48,7,0,0,0,0,0,0,Easy,
8..34...5...1...27...5.8..9.4...5.7.2.......6.7.2...4.4..8.9...58...7...7...13..2,28,48,5,0,0,0,0,0,0,Easy,
...9....4....5.8..3..48...54.7...2.8.8...6...2.1...5.38..23...9....6.1.....8....6,26,39,16,0,0,0,0,0,0,Easy,
....3.79.39.2..1.54........28..1...6...82.3..13..6...48........76.1..8.3....7.56.,29,50,2,0,0,0,0,0,0,Easy,
..62.....2..7...1.3....6..45.2...6...6...4.5.83...1..7..35..4..1...7...2...9.....,25,39,17,0,0,0,0,0,0,Easy,
..2486....4.......8..3.1.7..6..47..8.7..6..1..1..93..61..7.8.3..3.........4932...,29,48,4,0,0,0,0,0,0,Easy,
....8....91.....68.37...94.....1....62.....314..763..938.5.1.96....3....2.......3,28,47,6,0,0,0,0,0,0,Easy,
98..1..644.......865.....71...362...5.......7..4...2.....5.6...3...4...9..78.36..,27,39,15,0,0,0,0,0,0,Easy,
.8.673.4.3...9...7..98.41...63...42.4..5.6..1..........7.....5...82.59......3....,27,47,7,0,0,0,0,0,0,Easy,
....3......38.57...2.....4.257...486..........4.6.8.2...23.69......1....49.....51,26,40,15,0,0,0,0,0,0,Easy,
.8.....4..6..7..9...94.32..6..5.9..8.........1.......7.9.1.7.8.42..5..16.........,24,33,24,0,0,0,0,0,0,Easy,
..68...2.39..2..4..8...96..........46....5...4.....83.72....1.......1..6.....7..3,23,50,8,0,0,0,0,0,0,Easy,
...6...1...7........12..6..6...945..5143...9..3.....8.....6.953.....1....9....72.,25,44,12,0,0,0,0,0,0,Easy,
.54...2...81.7..542..5...18....2.7...2.648.9...5.1....54...1..913..9.52...9...48.,33,27,21,0,0,0,0,0,0,Easy,
35..486.2......9.7689..75..1.6......7...3...4......7.6..12..8655.2......8.365..71,33,43,5,0,0,0,0,0,0,Easy,
61...2....8...14..9...7.2.1........88.3.4.6..........57...9.8.2.6...83..54...7...,26,44,11,0,0,0,0,0,0,Easy,
...7.9....7453819.....1.......8.3....6.....2...7.4.9..39.....14..61.43..5...2...9,28,49,4,0,0,0,0,0,0,Easy,
8..1.6..2.5.724.1...........718.254....943....8.....3............24318..59.....61,29,49,3,0,0,0,0,0,0,Easy,
......98.6.4.........1.9.26.2.4..8...56.8.31...7..1.9.56.7.4.........6.2.19......,27,46,8,0,0,0,0,0,0,Easy,
..3..7..8.69.52...4....3.2....63.5....1.8.4.6..5......2......3.....912........9.5,25,36,20,0,0,0,0,0,0,Easy,
.5..6.17.7....5..44.6...5...4.316...6..8.4..5...592.4...4...3.73..1....9.97.5..8.,32,39,10,0,0,0,0,0,0,Easy,
.15...84....7.2...2...4...1............691...8.3.2.1.7.8.....7.13.....96...9.3...,25,48,8,0,0,0,0,0,0,Easy,
84.65...3...........5.74.9....1...4919....62....7...31..2.17.8..........65.38...7,28,44,9,0,0,0,0,0,0,Easy,
6........47.5......8..73..5.4...9.68....1.9..2...........4.56..1....78...5.98..7.,25,44,12,0,0,0,0,0,0,Easy,
17...6.955.8.3...1....2..4.6.........17...48.........7.5..8....7...6.8.348.7...59,28,43,10,0,0,0,0,0,0,Easy,
74.....96..82743......1.....2.5.1.8...5.3.9..8...9...3....2.....5.9.7.6....3.6...,27,36,18,0,0,0,0,0,0,Easy,
27.9.6..8..9.27..6...1...9.71....9.2.9.....5.4.6....13.2...8...6..27.4..1..4.9.25,32,38,11,0,0,0,0,0,0,Easy,
.8.4..5...3...2.1...25.98..3..7...6.7...6....2..9...3...92.57...2...7.8..7.8..3..,28,44,9,0,0,0,0,0,0,Easy,
.7.6..42.1..8..6.562..47.....2....63..6.3.9..53....2.....38..947.8..9..6.69..4.8.,33,38,10,0,0,0,0,0,0,Easy,
..54......39....4...2...791...714..3...2.3...7..859...587...6...2....13......58..,28,44,9,0,0,0,0,0,0,Easy,
...6.3....6.8..92.37.........7..28.581.....399.45..1.........87.93..1.6....2.7...,28,48,5,0,0,0,0,0,0,Easy,
.3...2.41.4..5...9.6..7.2...2.7.5............1.6....84....216......89.....4....5.,24,49,8,0,0,0,0,0,0,Easy,
....82.......9.46...45....2..2....8...9.4..363....8.9.2....5..1.71......5......78,25,41,15,0,0,0,0,0,0,Easy,
.1.84.5....89....65.7.1.28....2.3.519.5...7.313.6.5....86.3.1.53....98....9.68.3.,36,42,3,0,0,0,0,0,0,Easy,
.5.67.9.....1....88.634.1........2494.7...5.1982........1.837.47....1.....8.59.1.,32,45,4,0,0,0,0,0,0,Easy,
5....6......5.374.7...9......8..2.14.4..1.98...7..9.564...2.......9.142.3....7...,28,47,6,0,0,0,0,0,0,Easy,
.......8.5.3..126.2.4.6..351...7.....3.6.4.7.....8...986..2.3.1.951..7.6.2.......,30,47,4,0,0,0,0,0,0,Easy,
...2.8..41.2.....69......3.....4.18.3.......2.51.2.....1......34.....9.16..8.5...,24,37,20,0,0,0,0,0,0,Easy,
7....6..8.1...369..35.8.2..18.2.4.....3...5.....3.7.81..1.3.74..247...5.9..1....2,32,37,12,0,0,0,0,0,0,Easy,
856.1.9..4....5..3..1.9..6..7....2.6.........6.5....7..6..8.1..5..3....2..2.5.497,28,43,10,0,0,0,0,0,0,Easy,
.59.2...771..........8.13..3..2......8......6.7...9.2..4....6.919.7.6..4.....8...,25,43,13,0,0,0,0,0,0,Easy,
.6.....9....687...51..3..46.58...46............4.6.2...351.268..8..4..1..21.7.35.,31,44,6,0,0,0,0,0,0,Easy,
....91.3.9.5..64...37...92.79.8.3...8.......7...6.9.13.79...38...29..7.6.5.28....,32,44,5,0,0,0,0,0,0,Easy,
.2..47.3...8.1..2.4.1......3.45.16.............27.84.9......8.3.4..5.2...7.86..5.,28,50,3,0,0,0,0,0,0,Easy,
4..61.9......48...7.......51....3..7..3..2.6........42.8....5......947..3.72.....,24,52,5,0,0,0,0,0,0,Easy,
.2.4.5.7.....3........2....6.9...3.7..8...5..35..4..16.6.2.9.4.1.......8...873...,26,43,12,0,0,0,0,0,0,Easy,
8.4...1.7..5..9.6..7.6..3.............3..8.....8.324....6......1..8...56....9..24,24,50,7,0,0,0,0,0,0,Easy,
..1826.....7..38...9.4...2....2....13....5.8.5.....9....85.2.9.7......5..4..6.17.,27,46,8,0,0,0,0,0,0,Easy,
.....8..47..4...35...97...6.5.681...2.8....5..4.592......26...84..1...23.....3..9,29,45,7,0,0,0,0,0,0,Easy,
4.......9.7...3.2....1.5..43..2..8......9.4..2..4..9.....3.6..5.2...9.8.8.......7,24,43,14,0,0,0,0,0,0,Easy,
476.2.......9...7..1...35....5.1.3....4....8...2.5.4...5...89.....6...5.328.4....,26,41,14,0,0,0,0,0,0,Easy,
.......8....86..2.....27..39.4..65.75..9.1..21.85..9.47..29.....8..34....6.......,28,41,12,0,0,0,0,0,0,Easy,
.7.1..82.8....9..5...2....6.5.3.2.8.2.4.......3.9.4.6....4....23....8..7.1.5..43.,28,45,8,0,0,0,0,0,0,Easy,
..43..27.8..2..4..7...4.6...5..1.8.........95..3..9........2.6....98....4...5..3.,24,37,20,0,0,0,0,0,0,Easy,
.9..8..6....412...7...3...89.8...3.4.1.6.9.5...2...9..62.....89.........8.......5,25,41,15,0,0,0,0,0,0,Easy,
.3.........7.65.....812...68...349...7.6.8.2...975...49...723.....91.4.........8.,28,47,6,0,0,0,0,0,0,Easy,
.6.9......2..45.7.....2..91.......8....458..2..1...5..3.6...8...8..9..17...8...4.,25,35,21,0,0,0,0,0,0,Easy,
.8.7..51.7...168.9.3................96...5........37...7.6..95.6....2..1.9..5.2.3,26,48,7,0,0,0,0,0,0,Easy,
7..198.6............5....3.....326....94..2...4.....188...5.192...9....5.....7...,24,41,16,0,0,0,0,0,0,Easy,
..........7.823.1.934...5281..3.2..4.........59..6..73...2.1.....3.8.6..7..546..1,30,42,9,0,0,0,0,0,0,Easy,
3..5....1.6..7...9..518....8....4.9.2....7.1.6....2.5...736.....4..2...31..4....8,27,49,5,0,0,0,0,0,0,Easy,
.4.3...6.6..91...7...28..........579.91.5.48.785..........48...4...63..2.5...2.1.,29,50,2,0,0,0,0,0,0,Easy,
1.82......7....26......715.....8...64..62..39....1...2.....632..6....79.3.94.....,27,49,5,0,0,0,0,0,0,Easy,
59...8......52..8..23..9.75....86.....1...3.8....31....48..7.12...84..9.93...2...,29,39,13,0,0,0,0,0,0,Easy,
..924.....2.....7...43..1.5....8.5.61..9.6..86.8.7....5.7..48...8.....6.....189..,28,40,13,0,0,0,0,0,0,Easy,
..7.4.6...5...3.4.4..67...3.4..8.9..6.15.94.8..9.6..3.9...57..4.7.3...6...5.9.2..,32,36,13,0,0,0,0,0,0,Easy,
..67......92...8..1....3..27..5..1......6.3879..1..2..6....4..1.59...7....32.....,26,43,12,0,0,0,0,0,0,Easy,
..3....1...7.3.8.69.68....4...78....7....4.29...26....4.56....3..2.9.4.8..8....9.,28,52,1,0,0,0,0,0,0,Easy,
26.38.....74.52......7..1..6..93.....9..2..5.....18..7..8..9......87.24.....41.83,29,47,5,0,0,0,0,0,0,Easy,
1............9.8..7..3.4.5.3.871......7.5.3....2....8...9.874....14....8.4...9...,25,42,14,0,0,0,0,0,0,Easy,
.15.2.38.38.....59.7..5..4..4.....3....1.4......387...7.4.1.8.5..........58...17.,28,30,23,0,0,0,0,0,0,Easy,
.9..7.14..27..3....1...8.6...29.7......8..5....53.1....5...6.3..79..2....6..1.75.,28,49,4,0,0,0,0,0,0,Easy,
..5...9...4..75....76.....5.....7...3......91.51....84....2.3....713....1..9.6...,24,33,24,0,0,0,0,0,0,Easy,
9...2....43......6..8145....5.3.9....4....7.......4..8......28.7..9..4...91...6..,24,44,13,0,0,0,0,0,0,Easy,
..7.....1.....5.69625.3.8..4.6..81..7.......2..86..9.4..2.6.31884.5.....1.....4..,30,45,6,0,0,0,0,0,0,Easy,
....79.3....85...7.3...62.5......8.4..4.6.5..6.1......4.97...1.7...94....2.58....,27,48,6,0,0,0,0,0,0,Easy,
.837.692.9.......5....9....89..1..436..839..22.......1...2.1............52..7..38,28,40,13,0,0,0,0,0,0,Easy,
....9..8.....1..27...6.71..1.8...9.64.6.7.2.82.9...3.1..52.1...92..6.....8..3....,29,34,18,0,0,0,0,0,0,Easy,
.1...2..8.32.9....76..4...9.....48.1...8.623......36.562..8...3.81.6.....4...7..6,30,42,9,0,0,0,0,0,0,Easy,
.3.4.8.2.....6.......2.7....4.....7.....8....7.26.91.51.......42..5.1..8.68...95.,26,49,6,0,0,0,0,0,0,Easy,
..91.762.5.........3...51......4..71...5.3...37..9......58...6.........2.973.24..,26,36,19,0,0,0,0,0,0,Easy,
.8.....23.7589.........6....1..5..8.7.3.4.2.1.4..7..3....7.........6235.52.....1.,27,52,2,0,0,0,0,0,0,Easy,
.6.4.....3....2.87......43....8..17.5.8.6.2.9.41..5....95......61.9....3.....6.1.,27,49,5,0,0,0,0,0,0,Easy,
7...98..........7.8....6.12..93..4..6..52..........6.7..7..5.......7..3.938.....1,24,47,10,0,0,0,0,0,0,Easy,
6...1...4....7.....8794563..5.....6.3.4...1.8...468...9...3...6..6...7..278...319,31,40,10,0,0,0,0,0,0,Easy,
4...6...85.......9.8.5.7.3..4.....6.............314...8...9...1.63...89..7.258.4.,26,54,1,0,0,0,0,0,0,Easy,
..67.94..81..46.....4.......3.15.8.6.......34.6.89.7.1..7......65..82.....36.51..,30,39,12,0,0,0,0,0,0,Easy,
...4..7.2..2.69....4..7.3.63.7..........23..84.1.......6..4.2.3..5.16......2..5.7,27,39,15,0,0,0,0,0,0,Easy,
.297...34...3......5...4...2.5.4...37..1.5.9.6.1.3...8.7...1......6......124...57,28,40,13,0,0,0,0,0,0,Easy,
1...4...8.94.8.26.8.......1.2.9.5.8...3...1....58.69...6.7.1.4...1.5.8...3.....1.,29,38,14,0,0,0,0,0,0,Easy,
.3..9..8..62...75.9..475..3............148...81.....26...9.6.....3...8...2..1..3.,26,38,17,0,0,0,0,0,0,Easy,
...9.672..91......8.7...64...5.....4.3.5.1.9.4.....1...49...5.6......98..681.2...,28,48,5,0,0,0,0,0,0,Easy,
..39.41...2..7..5...8.6.9...32...84.6.......115.....76.4.....8.....8.......713...,26,46,9,0,0,0,0,0,0,Easy,
....98.65.4....8....2....7.3..76.....795....2.....4..8....7...3..6...48....2.....,23,35,23,0,0,0,0,0,0,Easy,
6.......7.83...42..9.....1...8.7.2.....6.1......3.2...7..5.4..2.34...95...21.93..,27,52,2,0,0,0,0,0,0,Easy,
..29..46.5......3...6.4...2.5.4.1...8..6.7..4...5.2.8.7...6.8...4......5.23..91..,28,44,9,0,0,0,0,0,0,Easy,
8.1.....6.......8.5.6.92.....5..31...8.5.9.3...41..7.....97.2.1.9.......4.....3.7,26,48,7,0,0,0,0,0,0,Easy,
7...8...3........4..4.52...2.9.....8..7..8.69....14.7.8..5......5..3..........1.2,23,41,17,0,0,0,0,0,0,Easy,
..9.14.6....9..5..6..7...1..98....4...6.2....4....59.......3...76....3.2.....27..,24,52,5,0,0,0,0,0,0,Easy,
.1....7..3...59..2.7.83...9....9.84...........51.2....1...86.2.2..14...6..8....5.,26,39,16,0,0,0,0,0,0,Easy,
8.....4.7....962.8.9..2..3.5.1.....2.4......1.......6....6.3.5.7....5..3...7..9..,24,48,9,0,0,0,0,0,0,Easy,
....2.....5.6.7.4.18.....73.28.7.39.....8......54.18...3.....1..........972...685,27,49,5,0,0,0,0,0,0,Easy,
5.1.9...4....52....6.1......76....5.4..3.7..6.2....97......8.6....52....2...6.7.1,26,32,23,0,0,0,0,0,0,Easy,
.7..19...5....6..19..2...76.8..5....23.87..........92......3.4..1.5...6.....6....,24,51,6,0,0,0,0,0,0,Easy,
7...4....3..7.9.868...627....9...6.3.......7...2...1.92...514..5..6.8.329...2....,29,50,2,0,0,0,0,0,0,Easy,
56.....87.7.6.8.1..........9..3.6..5..4...9....15.92...457.216...2...7.....851...,29,39,13,0,0,0,0,0,0,Easy,
7.28.95.4..3...8.....746....9.2.4.6.....1....3..6.7..84.......56.......2...523...,27,47,7,0,0,0,0,0,0,Easy,
4.........3..46.72..6..753...34........98...1..96.......2..485..5..31.497........,27,40,14,0,0,0,0,0,0,Easy,
....2.4.7..2.3491.9........1....2.7..9.8.63..4....7.5.8..........7.8926.....5.7.8,28,40,13,0,0,0,0,0,0,Easy,
.3.4.8.9.....3....4...9...1...........57.63..3.9.4.2.58.......3.4.....1.2.6...8.7,25,53,3,0,0,0,0,0,0,Easy,
86......1.7.1.42......2....7...5.8...9.3..62.5...4.7......9.....5.7.64..21......3,26,46,9,0,0,0,0,0,0,Easy,
...8.95...5...314.63...4...193.....2.........8.....653...2...61.124...7...43.1...,28,47,6,0,0,0,0,0,0,Easy,
1.......265..1.9....2.5..6.2.16...4....4.7..63.41...8...9.3..1.43..7.8..8.......3,29,49,3,0,0,0,0,0,0,Easy,
.....4.......529..5..7.12..7.8.45..2.9.....5.4..17.6.9..35.7..4..648.......3.....,28,39,14,0,0,0,0,0,0,Easy,
7.1.9....28..5.1.3.4.........43....557..6...1..69....8.1.......46..1.9.79.2.4....,28,48,5,0,0,0,0,0,0,Easy,
..3...27..45....93............2..8..871..5...2..1......29..364....8...3....5.692.,26,49,6,0,0,0,0,0,0,Easy,
....9.......6.2...4..3.8..5..4...2..79..4..68.2.....1..1.9.6.7..4..5..2.6.3...5.9,27,50,4,0,0,0,0,0,0,Easy,
.639....54.2.5......7.2..4.1.....8..7..8.13..5.....7....5.6..8.3.9.8.....812....3,28,47,6,0,0,0,0,0,0,Easy,
4.......826...4.1...1.756....69...7.....8.....1...23....412.8...8.5...633.......9,27,50,4,0,0,0,0,0,0,Easy,
.......284...6......3........62..897.8.4.....25............2..3..29.84..73.6..5..,24,34,23,0,0,0,0,0,0,Easy,
...8...199657....32....5.....7.8..3...........9..6.1.....5....83....897464...9...,26,39,16,0,0,0,0,0,0,Easy,
.3..9..2.....4....2.6.8.3.5..4...2..5.......4.724.963....827....5.....8.8.1...7.9,28,46,7,0,0,0,0,0,0,Easy,
....5...7...9....1749.....6.682.......31.86.......529.6.....1398....9...5...4....,26,47,8,0,0,0,0,0,0,Easy,
......63.8.9.....236.8....4....43..64.5.6.3.92..79....7....9.855.....4.3.28......,29,46,6,0,0,0,0,0,0,Easy,
...3...6.6.31.2.....549.32..3....679..7...4..256....3..72.318.....2.47.3.6...7...,32,35,14,0,0,0,0,0,0,Easy,
..97.1...31.2....56.5.8..4......63....7...5....31......9..2.4.32....3.78...4.89..,28,48,5,0,0,0,0,0,0,Easy,
3.6.8...1...56.....8...362..6...9..3...856...7..3...6..729...5.....75...9...4.3.7,29,34,18,0,0,0,0,0,0,Easy,
.53..19...6...4.329..7....819....2......5......2....652....8..141.5...7...61..82.,29,46,6,0,0,0,0,0,0,Easy,
